1040	nodN[Nodulation]	69.182	159	49	0	4	162	3	161	1.17e-84	239	83.02	132
1057	ntrC[Fixation]	32.787	122	78	2	1	120	1	120	2.06e-13	58.2	50.82	62
1089	ntrC[Fixation]	37.864	515	272	10	9	516	2	475	8.78e-101	306	53.20	274
1124	nolR[Nodulation]	30.000	80	56	0	7	86	27	106	1.14e-07	39.3	48.75	39
1149	nodG[Nodulation]	27.861	201	119	9	48	236	59	245	3.65e-11	54.3	43.28	87
1150	nodG[Nodulation]	31.220	205	125	5	3	205	1	191	1.05e-17	73.6	46.83	96
1221	nodG[Nodulation]	38.776	245	143	6	5	245	2	243	1.25e-44	144	55.51	136
1231	nodG[Nodulation]	39.844	256	135	5	7	257	1	242	1.05e-46	149	53.91	138
1259	nolF[Nodulation]	24.534	322	211	6	58	371	52	349	1.66e-10	54.7	40.06	129
1260	nolG[Nodulation]	28.085	1086	714	26	1	1056	1	1049	2.31e-115	375	49.63	539
1294	glnG[Fixation]	28.440	109	72	3	1	105	1	107	7.22e-05	33.9	44.04	48
13	glnA[Fixation]	29.639	388	230	11	103	449	64	449	5.35e-43	151	46.65	181
131	nodG[Nodulation]	32.661	248	159	4	11	255	1	243	8.82e-36	121	52.42	130
1323	nolG[Nodulation]	31.693	1057	660	14	1	1033	1	1019	9.80e-157	487	52.41	554
1324	nolF[Nodulation]	23.529	306	201	9	43	345	46	321	5.84e-11	56.2	45.42	139
1391	nodD3[Nodulation]	31.788	302	196	3	7	303	3	299	3.28e-40	136	48.01	145
1441	nodG[Nodulation]	35.714	252	149	2	3	254	4	242	2.17e-40	133	50.40	127
1576	nolR[Nodulation]	36.782	87	43	2	7	93	27	101	7.18e-12	50.8	51.72	45
1600	nodG[Nodulation]	34.413	247	155	3	12	255	4	246	8.37e-42	137	54.25	134
1628	nifV1[Fixation]	25.829	422	217	22	37	429	9	363	2.35e-13	64.3	39.34	166
1632	nifC[Fixation]	21.070	299	210	6	9	302	8	285	8.99e-07	42.0	42.14	126
1647	fixJ[Fixation]	22.488	209	128	6	7	210	9	188	6.56e-10	50.1	44.50	93
1816	glnG[Fixation]	35.345	116	73	1	5	120	6	119	2.75e-19	75.1	55.17	64
1828	nodG[Nodulation]	34.884	258	149	5	4	258	1	242	3.28e-40	133	51.94	134
1838	nodG[Nodulation]	23.695	249	176	7	9	253	4	242	2.38e-07	43.1	40.96	102
1844	nifC[Fixation]	24.537	216	143	7	63	268	72	277	1.21e-05	38.5	43.98	95
1868	nodT[Nodulation]	32.047	337	209	7	2	326	50	378	6.55e-32	119	48.96	165
1874	nodG[Nodulation]	27.236	246	161	5	20	257	7	242	3.07e-23	88.2	44.72	110
1946	glnT[Fixation]	28.671	429	250	16	22	428	22	416	9.31e-27	104	41.26	177
1954	fixR[Fixation]	30.279	251	151	8	8	246	37	275	2.63e-23	89.0	47.01	118
1960	nifC[Fixation]	20.513	273	193	7	6	268	20	278	9.07e-06	38.9	43.59	119
2021	fixJ[Fixation]	28.636	220	137	6	1	219	1	201	2.38e-11	54.3	45.00	99
2038	nolG[Nodulation]	27.273	1067	719	23	1	1041	3	1038	3.63e-105	347	48.27	515
2039	nolF[Nodulation]	23.810	357	244	7	15	367	17	349	1.41e-09	51.6	41.46	148
2074	nodV[Nodulation]	42.000	250	144	1	104	352	638	887	7.66e-59	197	63.20	158
2075	nodW[Nodulation]	54.500	200	91	0	5	204	19	218	6.73e-78	227	73.50	147
211	nodG[Nodulation]	25.472	212	143	6	53	255	39	244	8.50e-11	53.5	44.34	94
2147	glnA[Fixation]	33.060	366	209	12	81	413	66	428	3.15e-46	160	47.27	173
22	nifC[Fixation]	21.849	238	164	7	5	225	22	254	2.61e-06	40.4	44.54	106
2214	nodG[Nodulation]	29.876	241	155	4	4	230	3	243	3.04e-24	90.5	46.89	113
2224	nolF[Nodulation]	26.733	303	184	10	90	364	61	353	1.25e-15	70.5	42.90	130
2225	nolG[Nodulation]	28.917	1034	689	14	24	1025	3	1022	4.12e-138	436	52.90	547
241	nolR[Nodulation]	30.769	91	58	2	8	94	26	115	4.53e-08	41.2	48.35	44
2517	nifS1[Fixation]	36.761	389	219	8	6	382	4	377	4.88e-71	221	53.47	208
2521	nifS1[Fixation]	26.209	393	246	15	31	405	3	369	4.70e-27	104	44.27	174
2523	hesB1[Fixation]	39.091	110	61	3	6	110	3	111	2.10e-24	84.3	60.91	67
2592	nodD3[Nodulation]	29.831	295	191	5	5	290	7	294	5.38e-28	103	45.08	133
2597	ntrC[Fixation]	23.457	243	139	6	1	223	1	216	8.47e-10	50.8	40.74	99
2603	MTH_664[Fixation]	56.250	112	49	0	5	116	4	115	1.66e-41	127	71.43	80
2638	fixJ[Fixation]	28.488	172	99	5	47	214	51	202	1.31e-11	55.1	48.26	83
2650	nolG[Nodulation]	26.296	1061	733	20	1	1041	3	1034	3.65e-103	342	47.88	508
2651	nolG[Nodulation]	29.038	1040	710	13	1	1022	1	1030	1.20e-129	413	50.00	520
2652	nolG[Nodulation]	31.107	1048	687	17	1	1029	1	1032	6.05e-144	451	51.81	543
2655	fixI[Fixation]	34.483	638	371	11	204	833	139	737	8.24e-98	315	51.10	326
2656	nolA[Fixation]	28.182	110	65	4	3	108	13	112	3.86e-07	40.4	50.00	55
2670	nolG[Nodulation]	28.681	1046	688	20	1	1021	1	1013	7.60e-118	382	49.14	514
